beta,dims,K_signal,K_signal_err,phase,n
0.4,8x8x8x16,0.0353,0.0029,confined,48
0.5,8x8x8x16,0.0355,0.0025,confined,48
0.6,8x8x8x16,0.0384,0.0029,confined,48
0.7,8x8x8x16,0.036,0.0023,confined,48
0.8,8x8x8x16,0.043,0.0027,confined,48
0.9,8x8x8x16,0.0472,0.003,confined,48
0.95,8x8x8x16,0.0573,0.0029,confined,48
1.0,8x8x8x16,0.1032,0.0042,confined,48
1.05,8x8x8x16,0.193,0.0058,Coulomb,48
1.1,8x8x8x16,0.2091,0.0059,Coulomb,48
1.2,8x8x8x16,0.2205,0.006,Coulomb,48
1.3,8x8x8x16,0.2292,0.0056,Coulomb,48
1.4,8x8x8x16,0.2371,0.0038,Coulomb,128
1.5,8x8x8x16,0.2459,0.0066,Coulomb,48
1.6,8x8x8x16,0.2412,0.0039,Coulomb,128
1.7,8x8x8x16,0.2503,0.0061,Coulomb,48
