group,beta,dims,confinement,confinement_err,mu,n
u1,0.4,8x8x8x16,0.0353,0.0029,0.0,48
u1,0.5,8x8x8x16,0.0355,0.0025,0.0,48
u1,0.6,8x8x8x16,0.0384,0.0029,0.0,48
u1,0.7,8x8x8x16,0.036,0.0023,0.0,48
u1,0.8,8x8x8x16,0.043,0.0027,0.0,48
u1,0.9,8x8x8x16,0.0472,0.003,0.0,48
u1,0.95,8x8x8x16,0.0573,0.0029,0.0,48
u1,1.0,8x8x8x16,0.1032,0.0042,0.0,48
u1,1.05,8x8x8x16,0.193,0.0058,0.0,48
u1,1.1,8x8x8x16,0.2091,0.0059,0.0,48
u1,1.2,8x8x8x16,0.2205,0.006,0.0,48
u1,1.3,8x8x8x16,0.2292,0.0056,0.0,48
u1,1.5,8x8x8x16,0.2459,0.0066,0.0,48
u1,1.7,8x8x8x16,0.2503,0.0061,0.0,48
u1,2.5,8x8x8x16,0.2668,0.0039,0.0,128
su2,0.5,8x8x8x16,0.04,0.0018,0.0,64
su2,0.6,8x8x8x16,0.0378,0.0028,0.0,48
su2,0.8,8x8x8x16,0.0404,0.0026,0.0,48
su2,1.0,8x8x8x16,0.0407,0.002,0.0,48
su2,1.2,8x8x8x16,0.0407,0.0022,0.0,48
su2,1.4,8x8x8x16,0.0363,0.0026,0.0,48
su2,1.6,8x8x8x16,0.0433,0.0031,0.0,48
su2,1.8,8x8x8x16,0.0474,0.0024,0.0,48
su2,2.0,8x8x8x16,0.0609,0.0031,0.0,48
su2,2.2,8x8x8x16,0.0721,0.0037,0.0,48
su2,2.3,8x8x8x16,0.0756,0.0026,0.0,128
su2,2.4,8x8x8x16,0.0815,0.0032,0.0,48
su2,2.6,8x8x8x16,0.0863,0.0036,0.0,48
su2,2.8,8x8x8x16,0.0789,0.0042,0.0,48
