beta,dims,confinement,confinement_err,temporal_dominance,mass_gap,n
0.0,8x8x8x16,0.25,0.09682458365518541,2.8728412300566935e-05,-0.05805526905517371,20
0.25,8x8x8x16,0.3,0.10246950765959596,0.00042155377726154334,-0.034045491293535575,20
0.5,8x8x8x16,0.35,0.1066536450385077,0.0,-0.04581595731183747,20
0.75,8x8x8x16,0.3,0.10246950765959596,0.0,-0.0381853066040589,20
1.0,8x8x8x16,1.0,0.12247448713915889,0.04515650266209399,-0.061158703158117445,20
1.25,8x8x8x16,1.25,0.11989578808281799,0.02482647116700822,-0.0493046411419697,20
1.5,8x8x8x16,1.35,0.10665364503850773,0.0350832379747963,-0.03228909965427474,20
1.75,8x8x8x16,1.55,0.1495827530165159,0.028227757376792915,-0.0695257344556661,20
2.0,8x8x8x16,2.0,0.1414213562373095,0.03700377488608893,-0.03939070848212704,20
2.25,8x8x8x16,2.3,0.14317821063276354,0.07865222720000802,-0.07056291624500226,20
2.5,8x8x8x16,2.25,0.13919410907075053,0.05893818680339149,-0.04420553139915128,20
2.75,8x8x8x16,2.35,0.1771298958391835,0.0798417292581242,-0.06367905760169029,20
3.0,8x8x8x16,2.5,0.1322875655532295,0.08946405118562809,-0.059503229843508997,20
3.25,8x8x8x16,3.35,0.16240381768911716,0.0723558689674423,-0.052037255476053715,20
3.5,8x8x8x16,3.7,0.20124611797498107,0.06491267500665383,-0.09031485145136953,20
3.75,8x8x8x16,2.9,0.12041594578792295,0.08188577684942136,-0.06387419304065561,20
4.0,8x8x8x16,3.65,0.1907223112276065,0.0790149379230057,-0.06392064181158227,20
4.25,8x8x8x16,3.6,0.1643167672515498,0.09739256087329362,-0.05574383091144537,20
4.5,8x8x8x16,4.15,0.23743420141167532,0.08295639910004976,-0.051083261233825325,20
4.75,8x8x8x16,3.9,0.1396424004376894,0.08624729931180272,-0.04990784781192718,20
5.0,8x8x8x16,5.65,0.19072231122760652,0.1822919684975995,-0.11992846710241825,20
