group,beta,dims,H,H_err,n
u1,0.4,8x8x8x16,5.93184503847458,0.00030644782768821295,48
u1,0.5,8x8x8x16,5.924359451957358,0.0003638953900191204,48
u1,0.6,8x8x8x16,5.915365484542485,0.00038877045129828073,48
u1,0.7,8x8x8x16,5.904503857963738,0.00045090003437149074,48
u1,0.8,8x8x8x16,5.890119563869721,0.0005281254202370136,48
u1,0.9,8x8x8x16,5.863367414312307,0.0007607465721992028,48
u1,0.95,8x8x8x16,5.841442642432765,0.0008677885617736317,48
u1,1.0,8x8x8x16,5.793418242646446,0.0012115636545786985,48
u1,1.05,8x8x8x16,5.750084605397294,0.0013369103653771957,48
u1,1.1,8x8x8x16,5.74692088213181,0.0014474927417634305,48
u1,1.2,8x8x8x16,5.743275965722687,0.0011822525699785316,48
u1,1.3,8x8x8x16,5.740478777527172,0.0012709313790562357,48
u1,1.5,8x8x8x16,5.73744278489172,0.001273285539938926,48
u1,1.7,8x8x8x16,5.734843130846914,0.0014701407506902103,48
su2,0.5,8x8x8x16,5.96864504510767,0.00015851757513063436,64
su2,0.6,8x8x8x16,5.967299562870511,0.00018062578153375065,48
su2,0.8,8x8x8x16,5.963988790821908,0.00015744757099515034,48
su2,1.0,8x8x8x16,5.960880401830548,0.0002012729876341612,48
su2,1.2,8x8x8x16,5.957025536204643,0.00020805977779305093,48
su2,1.4,8x8x8x16,5.952767149607632,0.00020881236203599177,48
su2,1.6,8x8x8x16,5.946724334578177,0.0003202730472411967,48
su2,1.8,8x8x8x16,5.939765588545778,0.00031003146596606266,48
su2,2.0,8x8x8x16,5.930222864724326,0.00035847601573884354,48
su2,2.2,8x8x8x16,5.920651890725829,0.00040627759206393675,48
su2,2.3,8x8x8x16,5.918127535357609,0.00025368921420182433,128
su2,2.4,8x8x8x16,5.918117060069581,0.00045592820499123723,48
su2,2.6,8x8x8x16,5.916188713135715,0.0004330378608654997,48
su2,2.8,8x8x8x16,5.91622222383679,0.0004992829116804775,48
