group,L,beta,nconfigs,mu,mu_over_muinf,mu_over_kappa0
su2,8,0.50,64,0.001250,0.038,0.005
su2,8,0.80,48,0.003339,0.102,0.012
su2,8,1.00,48,-0.004238,-0.130,-0.015
su2,8,1.20,48,0.006539,0.201,0.024
su2,8,1.40,48,0.007285,0.223,0.027
su2,8,1.60,48,0.013583,0.417,0.049
su2,8,1.80,48,0.021521,0.660,0.078
su2,8,2.00,48,0.036356,1.115,0.132
su2,8,2.20,48,0.040145,1.232,0.146
su2,8,2.30,256,0.048550,1.489,0.177
su2,8,2.40,48,0.046357,1.422,0.169
su2,8,2.60,48,0.044753,1.373,0.163
su2,8,2.80,48,0.026367,0.809,0.096
su3,6,5.00,48,0.047382,0.847,0.173
su3,6,5.25,128,0.065248,1.167,0.238
su3,6,5.50,48,0.107497,1.922,0.391
su3,6,5.75,128,0.100500,1.797,0.366
su3,6,6.00,48,0.068867,1.231,0.251
su3,6,6.25,128,0.064847,1.159,0.236
su3,6,6.50,48,0.072682,1.299,0.265
su3,6,6.75,128,0.070812,1.266,0.258
su3,6,7.00,48,0.064380,1.151,0.234
su3,8,5.50,128,0.063633,1.952,0.232
su3,8,5.70,128,0.060361,1.852,0.220
su3,8,5.90,128,0.048867,1.499,0.178
su3,8,6.00,128,0.042346,1.299,0.154
su3,8,6.10,128,0.043521,1.335,0.158
su3,8,6.30,128,0.043093,1.322,0.157
