operator,beta,L,ncfg,nsmear,tau,C_over_C0,C_err,m_eff,m_eff_err,a_m_0pp_expected
action_density,2.3,8,256,0,0,1.0,0.0,1.566281,0.069333,1.2687
action_density,2.3,8,256,0,1,0.20882,0.014413,1.295807,0.329906,1.2687
action_density,2.3,8,256,0,2,0.057149,0.019598,0.228502,0.407652,1.2687
action_density,2.3,8,256,0,3,0.045475,0.019116,1.217528,0.990358,1.2687
action_density,2.3,8,256,0,4,0.013459,0.013937,,,1.2687
action_density,2.3,8,256,0,5,0.007621,0.014723,,,1.2687
action_density,2.3,8,256,0,6,0.021932,0.013284,,,1.2687
plaquette_0pp,2.3,8,256,0,0,1.0,0.0,2.102194,0.078528,1.2687
plaquette_0pp,2.3,8,256,0,1,0.122188,0.00964,1.113429,0.37268,1.2687
plaquette_0pp,2.3,8,256,0,2,0.04013,0.016832,1.772162,1.924254,1.2687
plaquette_0pp,2.3,8,256,0,3,0.006821,0.011183,,,1.2687
plaquette_0pp,2.3,8,256,0,4,-0.001593,0.016517,,,1.2687
plaquette_0pp,2.3,8,256,0,5,0.00503,0.019569,,,1.2687
plaquette_0pp,2.3,8,256,0,6,0.032491,0.014706,,,1.2687
action_density,2.3,8,256,8,0,1.0,0.0,1.732521,0.127505,1.2687
action_density,2.3,8,256,8,1,0.176838,0.023049,1.467965,0.51191,1.2687
action_density,2.3,8,256,8,2,0.040742,0.021344,-0.105376,0.527263,1.2687
action_density,2.3,8,256,8,3,0.04527,0.026059,0.416496,0.47442,1.2687
action_density,2.3,8,256,8,4,0.029849,0.023535,,,1.2687
action_density,2.3,8,256,8,5,-0.001131,0.013363,,,1.2687
action_density,2.3,8,256,8,6,0.009529,0.008188,,,1.2687
plaquette_0pp,2.3,8,256,8,0,1.0,0.0,1.511957,0.049578,1.2687
plaquette_0pp,2.3,8,256,8,1,0.220478,0.010931,2.010984,0.709076,1.2687
plaquette_0pp,2.3,8,256,8,2,0.029513,0.020382,0.734383,2.272394,1.2687
plaquette_0pp,2.3,8,256,8,3,0.01416,0.026757,-0.904752,2.344443,1.2687
plaquette_0pp,2.3,8,256,8,4,0.034994,0.017722,-0.109538,0.606245,1.2687
plaquette_0pp,2.3,8,256,8,5,0.039045,0.012865,,,1.2687
plaquette_0pp,2.3,8,256,8,6,0.002442,0.011045,,,1.2687
action_density,2.3,8,256,24,0,1.0,0.0,1.658212,0.118706,1.2687
action_density,2.3,8,256,24,1,0.190479,0.023091,1.341401,0.445537,1.2687
action_density,2.3,8,256,24,2,0.049806,0.023232,0.155422,0.416332,1.2687
action_density,2.3,8,256,24,3,0.042637,0.024561,0.306494,0.33317,1.2687
action_density,2.3,8,256,24,4,0.031382,0.023197,,,1.2687
action_density,2.3,8,256,24,5,0.001837,0.013063,,,1.2687
action_density,2.3,8,256,24,6,0.011318,0.009435,,,1.2687
plaquette_0pp,2.3,8,256,24,0,1.0,0.0,1.892793,0.114296,1.2687
plaquette_0pp,2.3,8,256,24,1,0.15065,0.017096,,,1.2687
plaquette_0pp,2.3,8,256,24,2,-0.008285,0.011999,,,1.2687
plaquette_0pp,2.3,8,256,24,3,-0.002231,0.011601,,,1.2687
plaquette_0pp,2.3,8,256,24,4,0.004378,0.017675,,,1.2687
plaquette_0pp,2.3,8,256,24,5,0.001975,0.01068,,,1.2687
plaquette_0pp,2.3,8,256,24,6,0.011493,0.019508,,,1.2687
action_density,2.3,12,256,0,0,1.0,0.0,1.623879,0.050101,1.2687
action_density,2.3,12,256,0,1,0.197132,0.010011,1.629264,0.271558,1.2687
action_density,2.3,12,256,0,2,0.038653,0.011157,1.459919,1.358484,1.2687
action_density,2.3,12,256,0,3,0.008977,0.010362,,,1.2687
action_density,2.3,12,256,0,4,0.003901,0.01037,,,1.2687
action_density,2.3,12,256,0,5,-0.005924,0.013582,,,1.2687
action_density,2.3,12,256,0,6,0.020319,0.010489,,,1.2687
plaquette_0pp,2.3,12,256,0,0,1.0,0.0,2.04489,0.11538,1.2687
plaquette_0pp,2.3,12,256,0,1,0.129394,0.015129,1.897973,0.469235,1.2687
plaquette_0pp,2.3,12,256,0,2,0.019393,0.008064,,,1.2687
plaquette_0pp,2.3,12,256,0,3,0.003753,0.010708,,,1.2687
plaquette_0pp,2.3,12,256,0,4,-0.004606,0.007983,,,1.2687
plaquette_0pp,2.3,12,256,0,5,0.003723,0.008748,,,1.2687
plaquette_0pp,2.3,12,256,0,6,0.024153,0.014113,,,1.2687
action_density,2.3,12,256,8,0,1.0,0.0,1.736789,0.067448,1.2687
action_density,2.3,12,256,8,1,0.176085,0.011674,1.209218,0.194074,1.2687
action_density,2.3,12,256,8,2,0.052549,0.011877,,,1.2687
action_density,2.3,12,256,8,3,-0.005,0.009424,,,1.2687
action_density,2.3,12,256,8,4,0.02394,0.014414,,,1.2687
action_density,2.3,12,256,8,5,-0.011401,0.013582,,,1.2687
action_density,2.3,12,256,8,6,0.002337,0.005769,,,1.2687
plaquette_0pp,2.3,12,256,8,0,1.0,0.0,1.521285,0.045846,1.2687
plaquette_0pp,2.3,12,256,8,1,0.218431,0.009962,1.57764,0.224609,1.2687
plaquette_0pp,2.3,12,256,8,2,0.045098,0.010959,,,1.2687
plaquette_0pp,2.3,12,256,8,3,-0.000774,0.018634,,,1.2687
plaquette_0pp,2.3,12,256,8,4,-0.013421,0.015736,,,1.2687
plaquette_0pp,2.3,12,256,8,5,0.004248,0.014989,,,1.2687
plaquette_0pp,2.3,12,256,8,6,0.021971,0.014371,,,1.2687
action_density,2.3,12,256,24,0,1.0,0.0,1.660514,0.066942,1.2687
action_density,2.3,12,256,24,1,0.190041,0.012504,1.270654,0.190621,1.2687
action_density,2.3,12,256,24,2,0.053335,0.011462,,,1.2687
action_density,2.3,12,256,24,3,-0.006031,0.007587,,,1.2687
action_density,2.3,12,256,24,4,0.023222,0.013312,,,1.2687
action_density,2.3,12,256,24,5,-0.011066,0.013246,,,1.2687
action_density,2.3,12,256,24,6,0.002307,0.007475,,,1.2687
plaquette_0pp,2.3,12,256,24,0,1.0,0.0,1.888279,0.065116,1.2687
plaquette_0pp,2.3,12,256,24,1,0.151332,0.00983,1.325608,0.401266,1.2687
plaquette_0pp,2.3,12,256,24,2,0.0402,0.016935,,,1.2687
plaquette_0pp,2.3,12,256,24,3,-0.016415,0.012653,,,1.2687
plaquette_0pp,2.3,12,256,24,4,0.012107,0.014993,,,1.2687
plaquette_0pp,2.3,12,256,24,5,0.008049,0.015369,,,1.2687
plaquette_0pp,2.3,12,256,24,6,0.026988,0.010552,,,1.2687
action_density,2.3,16,256,0,0,1.0,0.0,1.632243,0.033365,1.2687
action_density,2.3,16,256,0,1,0.195491,0.006507,2.263733,0.363087,1.2687
action_density,2.3,16,256,0,2,0.020324,0.00767,1.106395,2.161274,1.2687
action_density,2.3,16,256,0,3,0.006722,0.01253,,,1.2687
action_density,2.3,16,256,0,4,0.007414,0.010529,,,1.2687
action_density,2.3,16,256,0,5,-0.021173,0.011864,,,1.2687
action_density,2.3,16,256,0,6,-0.019615,0.012301,,,1.2687
