smearing,tau,C_over_C0,err
8,0,1.0,0.0
8,1,0.2328,0.0083
8,2,0.0753,0.0085
8,3,0.033,0.0091
8,4,0.0059,0.0083
8,5,0.0015,0.0092
8,6,-0.0287,0.0086
8,7,-0.005,0.0091
8,8,0.0005,0.0089
8,9,-0.0079,0.0093
16,0,1.0,0.0
16,1,0.1922,0.0091
16,2,0.0598,0.008
16,3,0.0243,0.0091
16,4,0.0056,0.0071
16,5,0.0083,0.0094
16,6,-0.0226,0.0088
16,7,-0.0112,0.0073
16,8,0.0014,0.0078
16,9,0.0006,0.0108
24,0,1.0,0.0
24,1,0.1473,0.0085
24,2,0.0456,0.0082
24,3,0.0188,0.0086
24,4,0.0099,0.0074
24,5,0.0056,0.0084
24,6,-0.0135,0.0087
24,7,-0.0115,0.007
24,8,-0.0018,0.0073
24,9,0.0062,0.011
32,0,1.0,0.0
32,1,0.112,0.0076
32,2,0.0319,0.0079
32,3,0.015,0.0083
32,4,0.0115,0.0082
32,5,0.0001,0.008
32,6,-0.0074,0.0088
32,7,-0.0052,0.0069
32,8,-0.0032,0.0071
32,9,0.0066,0.0102
