beta,L,kind,x,value,err,used
2.3,16,chi_RR,2,0.262046,0.000204,1
2.3,16,chi_RR,3,0.187109,0.000601,1
2.3,16,chi_RR,4,0.164369,0.001567,1
2.3,16,chi_RR,5,0.142848,0.011864,1
2.3,16,chi_RR,6,0.172735,0.216383,0
2.3,16,chi_RR,7,-0.610451,1.075255,0
2.3,16,chi_RR,8,,,0
2.3,16,sigma_T,1,0.135734,0.00079,1
2.3,16,sigma_T,2,0.131717,0.001717,1
2.3,16,sigma_T,3,0.1249,0.00823,1
2.3,16,sigma_T,4,0.06163,0.038335,0
2.4,16,chi_RR,2,0.19023,0.000161,1
2.4,16,chi_RR,3,0.118706,0.000373,1
2.4,16,chi_RR,4,0.092456,0.000482,1
2.4,16,chi_RR,5,0.079753,0.002774,1
2.4,16,chi_RR,6,0.07092,0.00447,1
2.4,16,chi_RR,7,-0.021964,0.046461,0
2.4,16,chi_RR,8,0.066102,0.346584,0
2.4,16,sigma_T,1,0.072625,0.000342,1
2.4,16,sigma_T,2,0.070358,0.000322,1
2.4,16,sigma_T,3,0.068127,0.0013,1
2.4,16,sigma_T,4,0.065872,0.003642,1
2.4,16,sigma_T,5,0.069346,0.006304,1
2.4,16,sigma_T,6,0.016426,0.018154,0
2.4,16,sigma_T,7,0.012805,0.075288,0
2.4,16,sigma_T,8,-0.148336,0.085769,0
2.4,16,sigma_T,9,-0.180722,0.140907,0
2.4,16,sigma_T,10,-0.201621,0.49457,0
2.5,16,chi_RR,2,0.148706,9.8e-05,1
2.5,16,chi_RR,3,0.081078,0.000171,1
2.5,16,chi_RR,4,0.058144,0.000391,1
2.5,16,chi_RR,5,0.048439,0.000872,1
2.5,16,chi_RR,6,0.04494,0.002969,1
2.5,16,chi_RR,7,0.047028,0.008089,1
2.5,16,chi_RR,8,0.051974,0.022755,0
2.5,16,sigma_T,1,0.040367,0.000125,1
2.5,16,sigma_T,2,0.037791,0.000308,1
2.5,16,sigma_T,3,0.03634,0.000289,1
2.5,16,sigma_T,4,0.035737,0.000957,1
2.5,16,sigma_T,5,0.036128,0.000983,1
2.5,16,sigma_T,6,0.039522,0.003309,1
2.5,16,sigma_T,7,0.039636,0.008752,1
2.5,16,sigma_T,8,0.050487,0.019142,0
2.5,16,sigma_T,9,0.045048,0.030188,0
2.5,16,sigma_T,10,-0.014378,0.06947,0
2.5,16,sigma_T,11,0.145777,0.479476,0
