quantity,aperture,one_minus_lambda_crit,n_times_rate,deficit_from_limit,a_fm,m_times_a,lambda
shape_unfolded_n8,8,0.631627632301,5.05302105841,6.12296,,,
shape_cosh_n8,8,0.720160842284,5.76128673827,5.41469,,,
shape_folded_n8,8,0.711175054182,5.68940043346,5.29935,,,
shape_unfolded_n32,32,0.270124249789,8.64397599326,2.532,,,
shape_cosh_n32,32,0.293156351581,9.3810032506,1.79497,,,
shape_folded_n32,32,0.288917087694,9.2453468062,1.7434,,,
shape_unfolded_n128,128,0.0814028470728,10.4195644253,0.756412,,,
shape_cosh_n128,128,0.0835757322921,10.6976937334,0.478283,,,
shape_folded_n128,128,0.0822324437543,10.5257528006,0.462997,,,
shape_unfolded_n512,512,0.0214398224303,10.9771890843,0.198787,,,
shape_cosh_n512,512,0.0215910122484,11.0545982712,0.121378,,,
shape_folded_n512,512,0.0212331344051,10.8713648154,0.117385,,,
shape_unfolded_n2048,2048,0.00543243900284,11.1256350778,0.0503412,,,
shape_cosh_n2048,2048,0.00544214834336,11.1455198072,0.0304565,,,
shape_folded_n2048,2048,0.00535122197012,10.9593025948,0.0294471,,,
aperture_cap,8,0.711175054182,5.68940043346,-5.29935,,,
aperture_cap_mass,8,1.24193449821,9.93547598567,-1.05327,,,
aperture_cap,16,0.487300457806,7.7968073249,-3.19194,,,
aperture_cap_mass,16,0.668065293125,10.68904469,-0.299705,,,
aperture_cap,32,0.288917087694,9.2453468062,-1.7434,,,
aperture_cap_mass,32,0.340966242326,10.9109197544,-0.07783,,,
aperture_cap,64,0.157508873253,10.0805678882,-0.908182,,,
aperture_cap_mass,64,0.171392148862,10.9690975271,-0.0196522,,,
aperture_cap,128,0.0822324437543,10.5257528006,-0.462997,,,
aperture_cap_mass,128,0.0858111271279,10.9838242724,-0.00492544,,,
aperture_cap,256,0.0420119648767,10.7550630084,-0.233687,,,
aperture_cap_mass,256,0.0429199905222,10.9875175737,-0.00123214,,,
aperture_cap,1024,0.0106737525521,10.9299226133,-0.0588271,,,
aperture_cap_mass,1024,0.0107311256717,10.9886726878,-7.70238e-5,,,
aperture_cap,8192,0.00134050068958,10.9813816491,-0.00736806,,,
aperture_cap_mass,8192,0.00134139996437,10.9887485081,-1.20351e-6,,,
aperture_cap,1048576,1.04796334576e-5,10.9886921324,-5.75792e-5,,,
aperture_cap_mass,1048576,1.04796883694e-5,10.9887497116,-7.34566e-11,,,
aperture_cap,1073741824,1.02340706209e-8,10.9887496554,-5.62298e-8,,,
aperture_cap_mass,1073741824,1.02340706733e-8,10.9887497117,-7.00537e-17,,,
aperture_cap,1099511627776,9.99420964181e-12,10.9887497116,-5.49119e-11,,,
aperture_cap_mass,1099511627776,9.99420964186e-12,10.9887497117,-6.68087e-23,,,
limit_circle,,,10.9887497117,0,,,
limit_unfolded,,,11.1759763266,0.187227,,,
entropy_floor_exp_minus_kappa0,,,0.7598356857,0,,,
a_star,,,1.74891383501,,,,
massless_cos_average,,,0.5451657054,0.21467,,,
massless_box_mode_cosavg,,,0.545165705,-0.21467,,,
glueball_vs_floor,beta2.3_n16,0.74472378,0.9345493,0.174714,0.15848944,1.3654091,0.25527622
massless_vs_floor,n16,0.32476809,0.55217129,-0.207664,,0,0.67523191
glueball_vs_floor,beta2.4_n16,0.63842849,0.88153175,0.121696,0.11808226,1.0172955,0.36157151
massless_vs_floor,n16,0.32476809,0.55217129,-0.207664,,0,0.67523191
glueball_vs_floor,beta2.5_n16,0.53663954,0.80666333,0.0468276,0.089290459,0.76925,0.46336046
massless_vs_floor,n16,0.32476809,0.55217129,-0.207664,,0,0.67523191
massless_substrate,16,0.03171625265,1.0564851,0.00169571,,,
massless_substrate,32,0.03206435504,1.0680806,0.00204382,,,
massless_substrate,64,0.03215168396,1.0709896,0.00213114,,,
massless_substrate,256,0.03217899881,1.0718994,0.00215846,,,
massless_substrate,1024,0.03218070637,1.0719563,0.00216017,,,
massless_substrate,8192,0.03218081843,1.07196,0.00216028,,,
substrate_ceiling,,0.03002053929,,0,,,
rate_from_tension,4,0.7498166019,5.5422442,3.50031,,,
rate_from_tension,8,0.5473804046,6.341626,4.29969,,,
rate_from_tension,16,0.3382714031,6.6063965,4.56446,,,
rate_from_tension,64,0.0993521121,6.6970175,4.65508,,,
rate_from_tension,256,0.02584309898,6.7028221,4.66089,,,
rate_from_tension,1024,0.006524700676,6.7031855,4.66125,,,
rate_constant_elementary,,,2.041933677,,,,
physical_bound,beta2.3_L16,2.5358311,0.83177343,,,,
physical_bound,beta2.4_L16,1.8893161,1.1164023,,,,
physical_bound,beta2.5_L16,1.4286473,1.4763874,,,,
C_times_hbarc_GeV_fm,,,2.1683768,,,,
mass_product_times_hbarc_GeV_fm_n16,n16,,2.1092369,,,,
