group,collection,smear,L,T,n_configs,blocks,resolved,usable_lag,decay_rate,needs_lag,needs_configs,pencil_order,pencil_dim,samples,delta,spread,xi_over_a,decay_sampled,L_times_delta,kappa0,box_stable,block_values
su2,configs_b25_su2,0,8,32,384,4,no,1,,5,,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,0,12,32,384,4,no,2,1.256924,5,47500,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,0,16,32,384,4,no,1,,5,,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,0,20,32,384,4,no,1,,5,,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,4,8,32,384,4,no,3,1.066335,5,16016,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,4,12,32,384,4,no,3,1.018286,5,12008,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,4,16,32,384,4,no,3,0.776049,5,62256,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,4,20,32,384,4,no,4,0.912996,5,76216,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,8,8,32,384,4,no,6,0.668570,5,7360,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,8,12,32,384,4,no,4,0.883013,5,4284,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,8,16,32,384,4,no,3,0.832828,5,5792,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,8,20,32,384,4,no,4,0.814145,5,9416,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,16,8,32,384,4,no,6,0.634238,5,9548,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,16,12,32,384,4,no,4,0.728213,5,12020,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,16,16,32,384,4,no,5,0.634364,5,16172,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,16,20,32,384,4,no,4,0.777575,5,4996,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,24,8,32,384,4,no,7,0.547409,5,3880,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,24,12,32,384,4,no,4,0.687805,5,7520,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,24,16,32,384,4,no,5,0.622491,5,19008,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,24,20,32,384,4,no,4,0.766889,5,6268,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,32,8,32,384,4,no,4,0.678790,5,4068,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,32,12,32,384,4,no,4,0.663525,5,6892,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,32,16,32,384,4,no,5,0.615946,5,10652,,,12288,,,,no,,0.274653,,
su2,configs_b25_su2,32,20,32,384,4,no,5,0.781327,5,6500,,,12288,,,,no,,0.274653,,
