lambda,route,jmax,dim,mu,E1_lower,E0_upper,gap_lower,kappa0_upper,clears_floor,trunc_min,trunc_max,trunc_spread,tail_lifts,tail_shift,tail_m,tail_negatives
0.160000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,0,0
0.270000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,1,0
0.380000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,1,0
0.490000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,1,0
0.600000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,1,0
0.710000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,1,0
0.820000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,1,0
0.930000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,2,1
1.040000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,2,1
1.150000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,2,1
1.260000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,2,1
1.370000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,2,1
1.480000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,2,1
1.590000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,2,1
1.700000,absolute,30,61,0.27470000,0.27470000,,0.27470000,0.27465307,yes,0.27470000,0.27470000,0.00e+00,yes,0.27470000,2,1
