beta,nconfigs,d2_central,eb_upper_99,eb_upper_99.9,eb_upper_99.9999,under_ceiling_3.25,ceiling_upper_delta_1e-30
0.50,96,0.02069,0.6888,0.8662,1.3684,yes,4.6346
0.80,120,0.02996,0.6284,0.7876,1.2399,yes,4.2282
1.00,192,0.04846,0.4673,0.5718,0.8685,yes,2.8796
1.20,192,0.02373,0.4638,0.5767,0.8980,yes,3.0802
1.40,192,0.04371,0.4474,0.5548,0.8597,yes,2.9192
1.60,192,0.06456,0.5130,0.6235,0.9374,yes,3.0554
1.80,192,0.08483,0.4693,0.5731,0.8679,yes,2.8652
2.00,192,0.12508,0.4994,0.5984,0.8795,yes,2.7948
2.20,192,0.19211,0.6001,0.7019,0.9917,yes,2.9698
2.30,216,0.18910,0.5748,0.6706,0.9436,yes,2.8247
2.40,288,0.15915,0.4252,0.4937,0.6882,yes,2.0306
2.50,240,0.15204,0.4965,0.5846,0.8354,yes,2.5688
2.60,192,0.13637,0.5012,0.5957,0.8643,yes,2.6970
