beta,nconfigs,cos_avg_central,mu_central,mu_upper_delta_1e-06,mu_upper_delta_1e-12,mu_upper_delta_1e-30,confined_delta_1e-06,confined_delta_1e-12,confined_delta_1e-30,kappa0,cos_floor
0.50,96,1.001378,-0.001377,0.041080,0.073482,0.166217,yes,yes,yes,0.274653,0.759836
0.80,120,1.000601,-0.000601,0.031065,0.054839,0.122905,yes,yes,yes,0.274653,0.759836
1.00,192,0.998116,0.001885,0.025904,0.043642,0.094251,yes,yes,yes,0.274653,0.759836
1.20,192,0.999390,0.000610,0.023430,0.040302,0.088431,yes,yes,yes,0.274653,0.759836
1.40,192,0.998976,0.001025,0.023664,0.040471,0.088547,yes,yes,yes,0.274653,0.759836
1.60,192,0.995691,0.004319,0.028433,0.046135,0.096434,yes,yes,yes,0.274653,0.759836
1.80,192,0.995689,0.004320,0.026128,0.042085,0.087466,yes,yes,yes,0.274653,0.759836
2.00,192,0.992102,0.007930,0.032371,0.050457,0.102099,yes,yes,yes,0.274653,0.759836
2.20,192,0.986716,0.013373,0.039057,0.058033,0.112018,yes,yes,yes,0.274653,0.759836
2.30,120,0.986343,0.013751,0.054958,0.086320,0.176676,yes,yes,yes,0.274653,0.759836
2.40,192,0.989496,0.010560,0.039085,0.060261,0.120800,yes,yes,yes,0.274653,0.759836
2.50,144,0.990470,0.009576,0.041400,0.065108,0.132778,yes,yes,yes,0.274653,0.759836
2.60,192,0.990725,0.009318,0.034247,0.052590,0.104781,yes,yes,yes,0.274653,0.759836
