beta,nconfigs,d2_mean,d2_boot_err,eb_upper_999
0.50,96,0.020702,0.012429,0.545777
0.80,120,0.027921,0.013202,0.509464
1.00,192,0.027933,0.007301,0.357382
1.20,192,0.019367,0.008041,0.365893
1.40,192,0.029022,0.009328,0.357279
1.60,192,0.040931,0.009498,0.394154
1.80,192,0.049264,0.006987,0.365097
2.00,192,0.071307,0.006657,0.380711
2.20,192,0.110211,0.010466,0.447447
2.30,120,0.110791,0.009869,0.610270
2.40,192,0.090728,0.009295,0.394277
2.50,144,0.083473,0.008613,0.507812
2.60,192,0.077096,0.005272,0.374314
