group,beta,L,nconfigs,d2_circle,d2_sigma,d2_raw,cos_avg,mu,mu_upper_delta_1e-30,confined_1e-30,kappa0
su2,0.50,8,64,0.00581,0.01578,0.03780,0.998751,0.001250,0.714532,NO,0.274653
su2,0.50,12,64,0.00862,0.01827,0.08215,1.000219,-0.000219,0.357560,NO,0.274653
su2,0.50,16,96,0.02069,0.01563,0.11273,1.001378,-0.001377,0.166217,yes,0.274653
su2,0.50,24,32,0.14525,0.04310,0.39769,0.997980,0.002022,0.234785,yes,0.274653
su2,0.50,32,16,0.08125,0.06473,0.62523,0.999424,0.000576,0.246048,yes,0.274653
su2,0.80,8,48,0.02102,0.01629,0.15034,0.996666,0.003339,0.745947,NO,0.274653
su2,0.80,16,120,0.02996,0.01540,0.55794,1.000601,-0.000601,0.122905,yes,0.274653
su2,1.00,8,48,0.01068,0.01130,0.26705,1.004247,-0.004238,0.990067,NO,0.274653
su2,1.00,16,192,0.04846,0.01348,1.11926,0.998116,0.001885,0.094251,yes,0.274653
su2,1.20,8,48,0.04582,0.02170,0.48330,0.993483,0.006539,0.869398,NO,0.274653
su2,1.20,16,192,0.02373,0.01008,2.00335,0.999390,0.000610,0.088431,yes,0.274653
su2,1.40,8,48,0.04046,0.01401,0.73691,0.992741,0.007285,0.797262,NO,0.274653
su2,1.40,16,192,0.04371,0.00976,3.46566,0.998976,0.001025,0.088547,yes,0.274653
su2,1.60,8,48,0.05136,0.01709,1.18494,0.986509,0.013583,0.924303,NO,0.274653
su2,1.60,16,192,0.06456,0.01132,5.53927,0.995691,0.004319,0.096434,yes,0.274653
su2,1.80,8,48,0.09061,0.01308,1.89763,0.978709,0.021521,0.890117,NO,0.274653
su2,1.80,16,192,0.08483,0.00894,8.30895,0.995689,0.004320,0.087466,yes,0.274653
su2,2.00,8,48,0.13255,0.01784,2.57476,0.964296,0.036356,0.993089,NO,0.274653
su2,2.00,12,192,0.12212,0.00402,6.33436,0.986012,0.014086,0.174535,yes,0.274653
su2,2.00,16,192,0.12508,0.00763,11.72024,0.992102,0.007930,0.102099,yes,0.274653
su2,2.20,8,48,0.15439,0.01201,3.19320,0.960650,0.040145,1.224856,NO,0.274653
su2,2.20,12,192,0.17146,0.00974,7.74292,0.979876,0.020329,0.176519,yes,0.274653
su2,2.20,16,192,0.19211,0.01492,14.53894,0.986716,0.013373,0.112018,yes,0.274653
su2,2.30,8,256,0.17401,0.00884,3.24035,0.952610,0.048550,0.304853,NO,0.274653
su2,2.30,12,192,0.16765,0.00869,7.87148,0.978616,0.021616,0.193602,yes,0.274653
su2,2.30,16,120,0.20405,0.01750,14.58275,0.986343,0.013751,0.176676,yes,0.274653
su2,2.30,20,48,0.17112,0.02404,23.33739,0.993334,0.006689,0.223484,yes,0.274653
su2,2.30,24,256,0.17134,0.01019,34.26705,0.994791,0.005223,0.047525,yes,0.274653
su2,2.30,28,256,0.17826,0.01123,47.23077,0.995801,0.004208,0.037800,yes,0.274653
su2,2.30,32,256,0.18762,0.01406,62.30310,0.996688,0.003318,0.031775,yes,0.274653
su2,2.40,8,48,0.16691,0.01869,3.15010,0.954701,0.046357,1.026521,NO,0.274653
su2,2.40,12,192,0.16281,0.00959,7.58109,0.980094,0.020107,0.180984,yes,0.274653
su2,2.40,16,192,0.15605,0.00926,13.97245,0.989496,0.010560,0.120800,yes,0.274653
su2,2.50,12,64,0.14277,0.01080,7.26710,0.983871,0.016260,0.410858,NO,0.274653
su2,2.50,16,144,0.14261,0.01189,13.50320,0.990470,0.009576,0.132778,yes,0.274653
su2,2.60,8,48,0.16308,0.02157,2.96940,0.956234,0.044753,1.092540,NO,0.274653
su2,2.60,12,192,0.13686,0.00836,7.13975,0.983043,0.017103,0.187101,yes,0.274653
su2,2.60,16,192,0.13637,0.00630,13.21843,0.990725,0.009318,0.104781,yes,0.274653
su3,5.50,6,48,0.23023,0.02339,2.12934,0.898080,0.107497,inf,NO,0.274653
su3,5.50,8,128,0.23089,0.01523,3.94734,0.938349,0.063633,0.539404,NO,0.274653
su3,6.00,6,48,0.13835,0.01634,1.59326,0.933451,0.068867,1.991023,NO,0.274653
su3,6.00,8,128,0.14936,0.00908,3.20461,0.958538,0.042346,0.454762,NO,0.274653
su3,6.00,12,64,0.17541,0.01815,7.97334,0.977773,0.022478,0.445338,NO,0.274653
