beta,nconfigs,rho1,rho1_boot_err,upper_999,Delta
0.50,96,0.035365,0.052696,0.198195,3.342024
0.80,120,0.024334,0.083987,0.283854,3.715877
1.00,128,0.039865,0.076210,0.275353,3.222267
1.20,128,0.037876,0.071237,0.257999,3.273431
1.40,128,0.053790,0.053260,0.218363,2.922672
1.60,128,0.093914,0.060663,0.281364,2.365372
1.80,128,0.155394,0.031244,0.251940,1.861790
2.00,128,0.232444,0.061612,0.422825,1.459107
2.20,128,0.286705,0.035616,0.396760,1.249300
2.30,120,0.287989,0.031249,0.384548,1.244833
2.40,128,0.268374,0.044711,0.406529,1.315375
2.50,128,0.274858,0.057094,0.451279,1.291501
2.60,128,0.319730,0.043301,0.453531,1.140277
