group,L,beta,nconfigs,cos_avg,mu,d2_circle,substrate_ratio,above_floor,kappa0,c_max
u1,8,0.40,48,0.998201,0.001800,0.01111,0.000174,no,0.274653,0.012688
u1,8,0.50,48,0.999736,0.000264,0.01890,0.000295,no,0.274653,0.012688
u1,8,0.60,48,0.995025,0.004987,0.02377,0.000371,no,0.274653,0.012688
u1,8,0.70,48,0.995364,0.004646,0.05304,0.000829,no,0.274653,0.012688
u1,8,0.80,48,0.986671,0.013418,0.05724,0.000894,no,0.274653,0.012688
u1,8,0.90,48,0.961385,0.039380,0.14935,0.002334,no,0.274653,0.012688
u1,8,0.95,48,0.962105,0.038632,0.14870,0.002323,no,0.274653,0.012688
u1,8,1.00,48,0.918108,0.085440,0.32165,0.005026,no,0.274653,0.012688
u1,8,1.05,48,0.941969,0.059783,0.21976,0.003434,no,0.274653,0.012688
u1,8,1.10,48,0.945219,0.056339,0.20466,0.003198,no,0.274653,0.012688
u1,8,1.20,48,0.950042,0.051250,0.18816,0.002940,no,0.274653,0.012688
u1,8,1.30,48,0.958795,0.042078,0.15941,0.002491,no,0.274653,0.012688
u1,8,1.40,128,0.962866,0.037841,0.13348,0.002086,no,0.274653,0.012688
u1,8,1.50,48,0.965192,0.035428,0.13303,0.002079,no,0.274653,0.012688
u1,8,1.60,128,0.964037,0.036626,0.12425,0.001941,no,0.274653,0.012688
u1,8,1.70,48,0.960734,0.040057,0.15375,0.002402,no,0.274653,0.012688
u1,8,1.80,128,0.964209,0.036447,0.12608,0.001970,no,0.274653,0.012688
u1,8,2.00,128,0.962075,0.038663,0.14208,0.002220,no,0.274653,0.012688
u1,8,2.20,128,0.961613,0.039143,0.14160,0.002213,no,0.274653,0.012688
u1,8,2.50,256,0.960889,0.039896,0.14320,0.002238,no,0.274653,0.012688
