rt,beta,nconfigs,L,rho1_coset,sigma_full,sigma_full_spread,sigma_Z,sigma_Z_spread,sigma_resolved,Z_over_full
2,0.80,48,16,0.053398,1.694564,0.288936,1.681538,0.322589,yes,0.992313
2,1.00,48,16,0.061623,1.413776,0.086764,1.485517,0.191124,yes,1.050745
2,1.20,48,16,0.030666,1.215413,0.071487,1.185704,0.113046,yes,0.975557
2,1.40,48,16,0.049176,1.068259,0.010235,1.051300,0.038963,yes,0.984125
2,1.60,48,16,0.046579,0.919321,0.009219,0.879068,0.022483,yes,0.956215
2,1.80,48,16,0.066822,0.770064,0.007596,0.719534,0.020114,yes,0.934382
2,2.00,48,16,0.034080,0.600288,0.004767,0.521816,0.008375,yes,0.869275
2,2.20,48,16,0.055909,0.405313,0.004434,0.295339,0.003280,yes,0.728671
2,2.40,48,16,0.082109,0.254024,0.002695,0.132910,0.001702,yes,0.523217
2,2.60,48,16,0.050009,0.187757,0.001045,0.072266,0.002570,yes,0.384890
3,0.80,48,16,0.053898,-10.366277,12.639291,-2.336495,3.529936,no,
3,1.00,48,16,0.052527,-0.581565,4.914235,nan,inf,no,
3,1.20,48,16,0.073654,0.919621,5.354405,-1.443575,2.608066,no,
3,1.40,48,16,0.065296,0.597567,1.779538,1.402777,4.650037,no,
3,1.60,48,16,0.059865,1.815232,1.561069,0.848535,1.034829,yes,0.467453
3,1.80,48,16,0.019796,0.978695,0.371706,0.742162,0.222286,yes,0.758318
3,2.00,48,16,0.061062,0.619905,0.096931,0.540886,0.121719,yes,0.872530
3,2.20,48,16,0.082487,0.313341,0.016149,0.300441,0.015497,yes,0.958832
3,2.40,48,16,0.096158,0.149325,0.001943,0.131071,0.003866,yes,0.877754
3,2.60,48,16,0.036192,0.089432,0.001419,0.074783,0.001613,yes,0.836196
