test,operator,nsmear,tau,points,fit_const,chi2_const,fit_alt,chi2_alt
volume,action_density,0,0,8|12|16|20,1.6022,0.608,,
volume,action_density,0,1,8|12|16|20,1.5288,1.694,,
volume,action_density,0,2,8|12|16|20,0.4126,0.310,,
volume,action_density,24,0,8|12|16|20,1.6047,2.024,,
volume,action_density,24,1,8|12|16|20,1.2788,0.412,,
volume,action_density,24,2,8|16|20,0.5460,1.021,,
volume,action_density,8,0,8|12|16|20,1.6895,0.956,,
volume,action_density,8,1,8|12|16|20,1.2584,0.736,,
volume,plaquette_0pp,0,0,8|12|16|20,2.1239,0.389,,
volume,plaquette_0pp,0,1,8|12|16|20,1.4475,0.597,,
volume,plaquette_0pp,24,0,8|12|16|20,1.8755,0.173,,
volume,plaquette_0pp,24,1,12|16|20,1.2415,0.031,,
volume,plaquette_0pp,8,0,8|12|16|20,1.4946,0.371,,
volume,plaquette_0pp,8,1,8|12|16|20,1.3756,2.259,,
scaling,action_density,0,0,2.30|2.40|2.50,6.6272,135.707,,2.770
scaling,action_density,0,1,2.30|2.40|2.50,8.6492,0.702,,0.242
scaling,action_density,24,0,2.30|2.40|2.50,7.9736,185.139,,31.670
scaling,action_density,24,1,2.30|2.40|2.50,5.4192,1.113,,0.145
scaling,action_density,8,0,2.30|2.40|2.50,8.3332,148.250,,27.860
scaling,action_density,8,1,2.30|2.40|2.50,6.0518,0.553,,0.448
scaling,plaquette_0pp,0,0,2.30|2.40|2.50,8.8962,26.940,,2.643
scaling,plaquette_0pp,0,1,2.30|2.40|2.50,6.9785,1.083,,0.163
scaling,plaquette_0pp,24,0,2.30|2.40|2.50,4.8338,4.992,,71.064
scaling,plaquette_0pp,24,1,2.30|2.40|2.50,3.7444,0.460,,2.499
scaling,plaquette_0pp,24,2,2.30|2.40|2.50,2.9530,1.092,,1.019
scaling,plaquette_0pp,8,0,2.30|2.40|2.50,4.7307,53.787,,20.119
scaling,plaquette_0pp,8,1,2.30|2.40|2.50,4.0608,6.319,,0.432
scaling,plaquette_0pp,8,2,2.30|2.40|2.50,3.7862,4.381,,1.195
scaling,plaquette_0pp,8,3,2.30|2.40|2.50,2.3891,0.085,,0.194
matched_volume,action_density,0,0,12@2.30|16@2.40,1.0195,0.0374,0.7450,cutoff
matched_volume,action_density,0,1,12@2.30|16@2.40,1.2056,0.2750,0.7450,cutoff
matched_volume,action_density,0,2,12@2.30|16@2.40,0.5123,0.6495,0.7450,physical
matched_volume,action_density,24,0,12@2.30|16@2.40,1.1668,0.0889,0.7450,cutoff
matched_volume,action_density,24,1,12@2.30|16@2.40,1.0856,0.2464,0.7450,cutoff
matched_volume,action_density,8,0,12@2.30|16@2.40,1.1850,0.0932,0.7450,cutoff
matched_volume,action_density,8,1,12@2.30|16@2.40,1.4011,0.4413,0.7450,cutoff
matched_volume,plaquette_0pp,0,0,12@2.30|16@2.40,1.0099,0.0725,0.7450,cutoff
matched_volume,plaquette_0pp,0,1,12@2.30|16@2.40,0.8985,0.2783,0.7450,cutoff
matched_volume,plaquette_0pp,24,0,12@2.30|16@2.40,0.6441,0.0273,0.7450,physical
matched_volume,plaquette_0pp,24,1,12@2.30|16@2.40,0.7290,0.2291,0.7450,physical
matched_volume,plaquette_0pp,8,0,12@2.30|16@2.40,0.7655,0.0247,0.7450,physical
matched_volume,plaquette_0pp,8,1,12@2.30|16@2.40,0.6569,0.1339,0.7450,physical
matched_volume,action_density,0,0,8@2.30|16@2.50,1.1409,0.0625,0.5634,cutoff
matched_volume,action_density,0,1,8@2.30|16@2.50,1.8564,0.9439,0.5634,cutoff
matched_volume,action_density,24,0,8@2.30|16@2.50,1.4122,0.1094,0.5634,cutoff
matched_volume,action_density,24,1,8@2.30|16@2.50,0.9922,0.3903,0.5634,cutoff
matched_volume,action_density,8,0,8@2.30|16@2.50,1.4068,0.1143,0.5634,cutoff
matched_volume,action_density,8,1,8@2.30|16@2.50,0.9142,0.3754,0.5634,cutoff
matched_volume,plaquette_0pp,0,0,8@2.30|16@2.50,1.1950,0.0937,0.5634,cutoff
matched_volume,plaquette_0pp,0,1,8@2.30|16@2.50,1.8744,2.4954,0.5634,cutoff
matched_volume,plaquette_0pp,24,0,8@2.30|16@2.50,0.4701,0.0324,0.5634,physical
matched_volume,plaquette_0pp,8,0,8@2.30|16@2.50,0.7364,0.0279,0.5634,physical
matched_volume,plaquette_0pp,8,1,8@2.30|16@2.50,0.4972,0.1785,0.5634,physical
matched_volume,plaquette_0pp,8,2,8@2.30|16@2.50,1.5094,4.6812,0.5634,cutoff
exclusion,published_8_6,,0,2.30,1.2448,,0.3907,2.58
exclusion,published_8_6,,0,2.50,1.2915,,0.2420,13.63
