group,L,T,beta,collection,field,test,reference,bracket_half_gap,n_configs,stored_mean,stored_sem,equilibrium_mean,equilibrium_sem,offset,sigma,verdict,eq_method,eq_sweeps,eq_n
su2,8,16,0.5,configs_phase1,density,level_vs_reference,hot_only,,64,5.259589,0.00153,5.256611,0.002518,0.002978,1.0,at_equilibrium,heatbath,120,8
su2,8,16,0.6,configs_paper83,density,level_vs_reference,hot_only,,48,5.111936,0.001937,5.112295,0.002513,-0.000359,0.1,at_equilibrium,heatbath,120,8
su2,8,16,0.8,configs_paper83,density,level_vs_reference,hot_only,,48,4.824705,0.001764,4.823077,0.002669,0.001628,0.5,at_equilibrium,heatbath,120,8
su2,8,16,1.0,configs_paper83,density,level_vs_reference,hot_only,,48,4.53701,0.001975,4.536055,0.002403,0.000955,0.3,at_equilibrium,heatbath,120,8
su2,8,16,1.2,configs_paper83,density,level_vs_reference,hot_only,,48,4.258952,0.001642,4.258021,0.002988,0.000931,0.3,at_equilibrium,heatbath,120,8
su2,8,16,1.4,configs_paper83,density,level_vs_reference,hot_only,,48,3.969751,0.00213,3.969941,0.002072,-0.00019,0.1,at_equilibrium,heatbath,120,8
su2,8,16,1.6,configs_paper83,density,level_vs_reference,hot_only,,48,3.674672,0.002108,3.674587,0.003494,8.5e-05,0.0,at_equilibrium,heatbath,120,8
su2,8,16,1.8,configs_paper83,density,level_vs_reference,hot_only,,48,3.354028,0.001859,3.348191,0.001907,0.005837,2.2,at_equilibrium,heatbath,120,8
su2,8,16,2.0,configs_paper83,density,level_vs_reference,hot_only,,48,2.993436,0.002287,2.98806,0.002815,0.005376,1.5,at_equilibrium,heatbath,120,8
su2,8,16,2.2,configs_paper83,density,level_vs_reference,hot_only,,48,2.589732,0.001973,2.585249,0.003503,0.004483,1.1,at_equilibrium,heatbath,120,8
su2,8,16,2.3,configs_links_su2,links,level_vs_reference,hot_only,,256,2.386074,0.001016,2.386239,0.002914,-0.000165,0.1,at_equilibrium,heatbath,120,8
su2,8,16,2.3,configs_phase1,density,level_vs_reference,hot_only,,512,2.385322,0.000699,2.386239,0.002914,-0.000917,0.3,at_equilibrium,heatbath,120,8
su2,8,32,2.4,configs_box_su2_b2.40,density,level_vs_reference,hot_only,,96,2.21861,0.000926,2.215642,0.001422,0.002967,1.7,at_equilibrium,heatbath,120,8
su2,8,32,2.4,configs_boxsm_su2,operator,halves_drift,none,,192,1533.151477,0.095978,1531.844615,1531.894857,0.050242,0.6,no_drift,none,0,0
su2,8,16,2.4,configs_paper83,density,level_vs_reference,hot_only,,48,2.218157,0.001847,2.219278,0.003111,-0.001121,0.3,at_equilibrium,heatbath,120,8
su2,8,32,2.5,configs_b25_su2,operator,halves_drift,none,,2304,1441.231725,4.09863,1533.490117,1533.421118,-0.069,2.4,no_drift,none,0,0
su2,8,16,2.6,configs_paper83,density,level_vs_reference,hot_only,,48,1.979431,0.001607,1.983375,0.00249,-0.003944,1.3,at_equilibrium,heatbath,120,8
su2,8,16,2.8,configs_paper83,density,level_vs_reference,hot_only,,48,1.803816,0.001254,1.801151,0.001774,0.002665,1.2,at_equilibrium,heatbath,120,8
su2,12,24,0.5,configs_phase1,density,level_vs_reference,hot_only,,64,5.255506,0.000709,5.25574,0.001365,-0.000234,0.2,at_equilibrium,heatbath,120,8
su2,12,24,2.0,configs_betasweep,density,level_vs_reference,hot_only,,192,2.992603,0.000488,2.989696,0.001671,0.002907,1.7,at_equilibrium,heatbath,120,8
su2,12,24,2.2,configs_betasweep,density,level_vs_reference,hot_only,,192,2.584792,0.000504,2.584281,0.001221,0.000511,0.4,at_equilibrium,heatbath,120,8
su2,12,24,2.3,configs_ladder,density,level_vs_reference,hot_only,,64,2.385404,0.000834,2.386069,0.001373,-0.000665,0.4,at_equilibrium,heatbath,120,8
su2,12,24,2.3,configs_links_su2,links,level_vs_reference,hot_only,,256,2.385912,0.000401,2.386069,0.001373,-0.000157,0.1,at_equilibrium,heatbath,120,8
su2,12,24,2.3,configs_phase1,density,level_vs_reference,hot_only,,128,2.387683,0.000661,2.386069,0.001373,0.001614,1.1,at_equilibrium,heatbath,120,8
su2,12,24,2.4,configs_betasweep,density,level_vs_reference,hot_only,,192,2.219027,0.00045,2.219572,0.000785,-0.000545,0.6,at_equilibrium,heatbath,120,8
su2,12,32,2.4,configs_box_su2_b2.40,density,level_vs_reference,hot_only,,96,2.219258,0.000605,2.218635,0.000863,0.000623,0.6,at_equilibrium,heatbath,120,8
su2,12,32,2.4,configs_boxsm_su2,operator,halves_drift,none,,192,5173.835879,0.311125,5178.077728,5178.118296,0.040568,0.5,no_drift,none,0,0
su2,12,32,2.4,configs_smear_su2_L12,operator,halves_drift,none,,288,4429.129606,48.672742,5086.904643,5087.027954,0.123311,0.3,no_drift,none,0,0
su2,12,32,2.5,configs_b25_su2,operator,halves_drift,none,,2304,4863.161565,13.835008,5157.656087,5157.771337,0.11525,1.5,no_drift,none,0,0
su2,12,24,2.5,configs_ladder,density,level_vs_reference,hot_only,,64,2.088541,0.000718,2.087829,0.000761,0.000712,0.7,at_equilibrium,heatbath,120,8
su2,12,24,2.6,configs_betasweep,density,level_vs_reference,hot_only,,192,1.980385,0.000346,1.979508,0.001344,0.000877,0.6,at_equilibrium,heatbath,120,8
su2,12,24,2.7,configs_ladder,density,level_vs_reference,hot_only,,64,1.886641,0.000605,1.88765,0.000915,-0.001009,0.9,at_equilibrium,heatbath,120,8
su2,16,32,0.5,configs_phase1,density,level_vs_reference,hot_only,,96,5.257345,0.000315,5.257764,0.000522,-0.000419,0.7,at_equilibrium,heatbath,120,8
su2,16,32,0.8,configs_densebeta,density,level_vs_reference,hot_only,,120,4.824805,0.000318,4.823277,0.000605,0.001528,2.2,at_equilibrium,heatbath,120,8
